Entity,Code,Year,Mean (2021 prices),Population (historical),World regions according to OWID,time,time
Serbia,,,21.973694,,,,2022
Seychelles,,,,,,,2024
Sierra Leone,,,,,,,2024
Slovakia,,,25.447556,,,,2023
Slovenia,,,54.709743,,,,2023
Solomon Islands,,,,,,,2024
South Africa,,,,,,,2024
South Korea,,,64.39007,,,,2021
South Sudan,,,,,,,2024
Spain,,,54.849464,,,,2023
Sri Lanka,,,10.576535,,,,2019
Sudan,,,,,,,2024
Suriname,,,18.695366,,,,2022
Sweden,,,62.833885,,,,2023
Switzerland,,,87.38968,,,,2022
Syria,,,5.341807,,,,2022
Taiwan,,,55.607807,,,,2021
Tajikistan,TJK,2024,9.544276,,Asia,2023,2024
Tanzania,,,,,,,2024
Thailand,,,20.376883,,,,2023
Togo,,,5.0608582,,,,2021
Tonga,,,12.599189,,,,2021
Trinidad and Tobago,,,,,,,2024
Tunisia,,,15.890997,,,,2021
Turkey,,,28.938576,,,,2022
Turkmenistan,,,,,,,2024
Tuvalu,,,,,,,2024
Uganda,,,3.648793,,,,2019
Ukraine,,,15.570489,,,,2020
United Arab Emirates,,,,,,,2024
United Kingdom,,,64.3205,,,,2021
United States,,,92.95212,,,,2023
Uruguay,URY,2024,35.21066,,South America,2023,2024
Uzbekistan,UZB,2024,16.579653,,Asia,2023,2024
Vanuatu,,,6.004411,,,,2019
Venezuela,,,,,,,2024
Vietnam,,,16.58664,,,,2022
Yemen,,,,,,,2024
Zambia,,,2.8581424,,,,2022
Zimbabwe,,,5.1664457,,,,2019
