Entity,Code,Year,Military expenditure (% of GDP),World regions according to OWID,time,time
Eswatini,SWZ,2024,1.4440675,Africa,2023,2024
Ethiopia,ETH,2024,0.6505065,Africa,2023,2024
Fiji,FJI,2024,1.3128793,Oceania,2023,2024
Finland,FIN,2024,2.2997918,Europe,2023,2024
France,FRA,2024,2.0525768,Europe,2023,2024
Gabon,GAB,2024,1.5382068,Africa,2023,2024
Gambia,GMB,2024,0.57444036,Africa,2023,2024
Georgia,GEO,2024,1.8640294,Asia,2023,2024
Germany,DEU,2024,1.8919038,Europe,2023,2024
Ghana,GHA,2024,0.3839942,Africa,2023,2024
Greece,GRC,2024,3.1279755,Europe,2023,2024
Guatemala,GTM,2024,0.36762208,North America,2023,2024
Guinea,GIN,2024,2.0537033,Africa,2023,2024
Guinea-Bissau,,,1.2348847,,,2023
Guyana,GUY,2024,0.8681622,South America,2023,2024
Haiti,HTI,2024,0.0684431,North America,2023,2024
Honduras,HND,2024,1.5753627,North America,2023,2024
Hungary,HUN,2024,2.1563098,Europe,2023,2024
India,IND,2024,2.2712033,Asia,2023,2024
Indonesia,IDN,2024,0.77921677,Asia,2023,2024
Iran,IRN,2024,2.0104318,Asia,2023,2024
Iraq,IRQ,2024,2.3571405,Asia,2023,2024
Ireland,IRL,2024,0.23909633,Europe,2023,2024
Israel,ISR,2024,8.776717,Asia,2023,2024
Italy,ITA,2024,1.6092457,Europe,2023,2024
Jamaica,JAM,2024,1.2738574,North America,2023,2024
Japan,JPN,2024,1.3713969,Asia,2023,2024
Jordan,JOR,2024,4.800187,Asia,2023,2024
Kazakhstan,KAZ,2024,0.42842844,Asia,2023,2024
Kenya,KEN,2024,0.9995466,Africa,2023,2024
Kosovo,OWID_KOS,2024,1.4765964,Europe,2023,2024
Kuwait,KWT,2024,4.8409324,Asia,2023,2024
Kyrgyzstan,KGZ,2024,2.9662037,Asia,2023,2024
Laos,,,,,,2024
Latvia,LVA,2024,3.2579913,Europe,2023,2024
Lebanon,LBN,2024,2.5882852,Asia,2023,2024
Lesotho,LSO,2024,1.5674502,Africa,2023,2024
Liberia,LBR,2024,0.7112069,Africa,2023,2024
Libya,,,5.287051,,,2023
Lithuania,LTU,2024,3.1181748,Europe,2023,2024
Luxembourg,LUX,2024,0.9626792,Europe,2023,2024
Madagascar,MDG,2024,0.70864815,Africa,2023,2024
Malawi,MWI,2024,1.0249604,Africa,2023,2024
Malaysia,MYS,2024,0.98755676,Asia,2023,2024
Mali,MLI,2024,4.198147,Africa,2023,2024
Malta,MLT,2024,0.45112336,Europe,2023,2024
Mauritania,MRT,2024,2.155047,Africa,2023,2024
Mauritius,MUS,2024,0.14959086,Africa,2023,2024
Mexico,MEX,2024,0.89325756,North America,2023,2024
Moldova,MDA,2024,0.5977808,Europe,2023,2024
Mongolia,MNG,2024,0.7423073,Asia,2023,2024
Montenegro,MNE,2024,1.8325353,Europe,2023,2024
Morocco,MAR,2024,3.515754,Africa,2023,2024
Mozambique,MOZ,2024,1.9933012,Africa,2023,2024
Myanmar,MMR,2024,6.794525,Asia,2023,2024
Namibia,NAM,2024,2.734902,Africa,2023,2024
Nepal,NPL,2024,0.9794525,Asia,2023,2024
Netherlands,NLD,2024,1.9164255,Europe,2023,2024
New Zealand,NZL,2024,1.194047,Oceania,2023,2024
Nicaragua,NIC,2024,0.54513127,North America,2023,2024
Niger,NER,2024,2.241776,Africa,2023,2024
Nigeria,NGA,2024,0.5554294,Africa,2023,2024
North Macedonia,MKD,2024,2.1035285,Europe,2023,2024
Norway,NOR,2024,2.0912411,Europe,2023,2024
Oman,OMN,2024,5.5941954,Asia,2023,2024
Pakistan,PAK,2024,2.6676004,Asia,2023,2024
Panama,,,,,,2024
Papua New Guinea,PNG,2024,0.30799577,Oceania,2023,2024
Paraguay,PRY,2024,0.9331061,South America,2023,2024
Peru,PER,2024,0.9092887,South America,2023,2024
