Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID,time,time
Switzerland,CHE,2024,82026.41,Europe,2023,2024
Syria,,,4189.8374,,,2023
Tajikistan,TJK,2024,4755.933,Asia,2023,2024
Tanzania,TZA,2024,3713.263,Africa,2023,2024
Thailand,THA,2024,21737.178,Asia,2023,2024
Togo,TGO,2024,2849.6038,Africa,2023,2024
Tonga,,,7075.556,,,2023
Trinidad and Tobago,TTO,2024,31689.732,North America,2023,2024
Tunisia,TUN,2024,12713.55,Africa,2023,2024
Turkey,TUR,2024,35294.395,Asia,2023,2024
Turkmenistan,TKM,2024,17953.846,Asia,2023,2024
Tuvalu,,,5812.3994,,,2023
Uganda,UGA,2024,2881.866,Africa,2023,2024
Ukraine,UKR,2024,16319.845,Europe,2023,2024
United Arab Emirates,ARE,2024,68584.66,Asia,2023,2024
United Kingdom,GBR,2024,52517.984,Europe,2023,2024
United States,USA,2024,75491.61,North America,2023,2024
Uruguay,URY,2024,32038.773,South America,2023,2024
Uzbekistan,UZB,2024,10450.205,Asia,2023,2024
Vanuatu,VUT,2024,3169.2324,Oceania,2023,2024
Vietnam,VNM,2024,14415.216,Asia,2023,2024
Zambia,ZMB,2024,3716.0374,Africa,2023,2024
Zimbabwe,ZWE,2024,3450.1296,Africa,2023,2024
